Designator,Fitted,Quantity,Comment,Description,Manufacturer,Man_PN,Package,Supplier 1,Supplier Part Number 1,Supplier 2,Supplier Part Number 2

"C1, C3","Fitted","2","10nF/50V/0805/10%","Chip Ceramic Capacitor X7R 0805 10nF 50V 10%","Samsung Electro-Mechanics","CL21B103KBCNNNC","0805","Digi-Key","1276-1078-1-ND","",""
"C2","Fitted","1","1uF/10V/0603/10%","Chip Ceramic Capacitor X5R 0603 1uF 10V 10%","Murata Electronics North America","GRM188R61A105KA61D","0603","Digi-Key","490-1543-1-ND","Farnell","1828798RL"
"C5","Fitted","1","10nF/25V/0402/10%","Chip Ceramic Capacitor X7R 0402 10nF 25V 10%","Murata Electronics North America","GRM155R71E103KA01D","0402","Digi-Key","490-1312-1-ND","Farnell","8819734"
"C7, C11, C12, C13, C14, C16, C18, C19, C20, C21, C22, C23, C25, C27, C28, C29, C30, C31","Fitted","18","100nF/16V/0402/10%","Chip Ceramic Capacitor X7R 0402 100nF 16V 10%","Murata Electronics North America","GRM155R71C104KA88D","0402","Digi-Key","490-3261-1-ND","Farnell","8819742"
"C8, C9","Fitted","2","18pF/50V/0603/5%","Chip Ceramic Capacitor C0G 0603 18pF 50V 5%","Kemet","C0603C180J5GACTU","0603","Digi-Key","399-1052-1-ND","",""
"C15, C17","Fitted","2","4.7uF/10V/0603/10%","Chip Ceramic Capacitor X5R 0603 4.7uF 10V 10%","TDK Corporation","CGB3B1X5R1A475K055AC","0603","Digi-Key","445-7482-1-ND","Farnell","2346974"
"CK1, CK2, CK3","Fitted","3","600@100MHz/1A/0603","Ferrite Chip Beads SMD 0603 600@100MHz 1A","TDK Corporation","MPZ1608S601ATA00","0603","Digi-Key","445-2205-1-ND","Farnell","2393198"
"FID1, FID2, FID3","Fitted","3","Fiducial","Fiducial (non montare)","","","","","","",""
"J1","Fitted","1","61300311121","THT Vertical Pin Header Male WR-PHD, Pitch 2.54 mm, Single Row, 3 pins","WE","61300311121","","Digi-Key","732-5316-ND","",""
"J2","Fitted","1","10118192-0001LF","Micro-USB Type-B, right-angle, horizontal receptacle","FCI","10118192-0001LF","","Digi-Key","609-4613-1-ND","Farnell","1568026"
"J3","Fitted","1","61300211121","THT Vertical Pin Header Male WR-PHD, Pitch 2.54 mm, Single Row, 2 pins","WE","61300211121","","Digi-Key","732-5315-ND","",""
"J5","Fitted","1","61201021621","Male Box Header WR-BHD, THT, Vertical, pitch 2.54 mm, 10 pins","WE","61201021621","","Digi-Key","732-2094-ND","",""
"J6","Fitted","1","61200621621","Male Box Header WR-BHD, THT, Vertical, pitch 2.54 mm, 6 pins","WE","61200621621","","Mouser","710-61200621621","Digi-Key","732-5394-ND"
"J7","Fitted","1","10056847-101LF","Connector edge dual female 20 pos, 0.8pitch","Amphenol ICC (FCI)","10056847-101LF","","Digi-Key","609-4943-1-ND","",""
"LD1, LD2","Fitted","2","Red","Chip LED SMD WL-SMCW, size 1206, Red, 2V, 140 deg, 150 mcd","Wurth Electronics Inc.","150120RS75000","1206","Digi-Key","732-4991-1-ND","",""
"MEC1, MEC2","Fitted","2","Jumper","Jumper with pullback, 2.54mm pitch, black","WE","609002115121","","Digi-Key","732-13618-ND","",""
"Q1","Fitted","1","FDV304P","IC MOSFET P-CH 25V 460mA SOT-23","On Semiconductor","FDV304P","SOT23-3","Digi-Key","FDV304PCT-ND","",""
"Q2, Q3, Q4, Q5","Fitted","4","BSS138","MOSFET N-CH 50V 0.22A SOT-23","Fairchild Semiconductor","BSS138","TO-236-3, SC-59, SOT-23-3","Digi-Key","BSS138DKR-ND","Farnell","9845330"
"R1","Fitted","1","100K/1%/0603","Chip Resistor 0603 100K 1% 100ppm","Vishay Dale","CRCW0603100KFKEA","0603","Digi-Key","541-100KHCT-ND","Farnell","1344361"
"R2, R4, R5, R6, R8, R11, R12, R13, R15, R20","Fitted","10","10K/1%/0603","Chip Resistor 0603 10K 1% 100ppm","Vishay Dale","CRCW060310K0FKEA","0603","Digi-Key","541-10.0KHCT-ND","Farnell","1469748"
"R3, R21, R22, R23, R24, R25","Fitted","6","1K/1%/0603","Chip Resistor 0603 1K 1% 100ppm","Vishay Dale","CRCW06031K00FKEA","0603","Digi-Key","541-1.00KHDKR-ND","Farnell","1469740"
"R7, R9, R16","Fitted","3","100R/1%/0603","Chip Resistor 0603 100R 1% 100ppm","Vishay Dale","CRCW0603100RFKEA","0603","Digi-Key","541-100HCT-ND","Farnell","1469752"
"R10","Fitted","1","12K/1%/0603","Chip Resistor 0603 12K 1% 100ppm","Vishay","CRCW060312K0FKEAC","0603","Digi-Key","541-4046-1-ND","",""
"R14","Fitted","1","2.2K/1%/0402","Chip Resistor 0402 2.2K 1% 100ppm","Vishay Dale","CRCW04022K20FKED","0402","Digi-Key","541-2.20KLCT-ND","Farnell","1563902"
"TVS1, TVS2, TVS3","Fitted","3","82356050560","Chip ESD suppressor bidirectional 5V 0603","WE","82356050560","0603","","","",""
"U1","Fitted","1","USBLC6-2P6","TVS 2 line, Low cap, 5V, SOT666","STMicroelectronics","USBLC6-2P6","SOT-666, SOT-563","Digi-Key","497-5026-6-ND","Farnell","1295310"
"U2, U3, U5, U8, U9, U11","Fitted","6","M74VHC1GT125DT1G","IC BUFFER NON-INVERT 5.5V 5-TSOP","ON Semiconductor","M74VHC1GT125DT1G","5-TSOP","Digi-Key","M74VHC1GT125DT1GOSCT-ND","",""
"U4","Fitted","1","FT232HL","IC HS USB TO UART/FIFO 48LQFP","FTDI","FT232HL","LQFP-48","Digi-Key","768-1101-1-ND","",""
"U6","Fitted","1","93LC56BT-I/OT","IC EEPROM 2K SPI 2MHz SOT23-6","Microchip","93LC56BT-I/OT","SOT23-6","Digi-Key","93LC56BT-I/OTCT-ND","",""
"U7, U10","Fitted","2","74LVC1G02GV,125","IC GATE NOR 1CH 2-INP 5-TSOP","NXP Semiconductors","74LVC1G02GV,125","SOT23-5, SC-74A, SOT-753","Digi-Key","568-4834-1-ND","Mouser","771-LVC1G02GV125"
"XT1","Fitted","1","12MHz/Cap/4-SMD, 3.2x2.5mm","Xtal SMD 12MHz 8pF 25ppm (-40 to 85)","NDK","NX3225SA-12MHZ-STD-CSR-6","4-SMD, 3.2x2.5mm","Digi-Key","644-1180-1-ND","",""
"C24, C26","Not Fitted","0","4.7uF/10V/0603/10%","Chip Ceramic Capacitor X5R 0603 4.7uF 10V 10%","TDK Corporation","CGB3B1X5R1A475K055AC","0603","Digi-Key","445-7482-1-ND","Farnell","2346974"
"J4","Not Fitted","0","75915-310LF","CONN RCPT 10POS 0.1 GOLD PCB","FCI","75915-310LF","10x2.54mm","","","",""
